id,컵 노트,꽃,과일,허브,달콤함,고소함,향료_풍미,초콜릿
125,"['토스트', '카카오', '밀크 초콜릿']",0,0,0,0,1,0,1
1109,"['다크 초콜릿', '흑설탕']",0,0,0,1,0,0,1
3911,['null'],0,0,0,0,0,0,0
3605,['null'],0,0,0,0,0,0,0
3011,['null'],0,0,0,0,0,0,0
18,"['다크 초콜릿', '카라멜', '적은 산미']",0,1,0,1,0,0,1
4826,['null'],0,0,0,0,0,0,0
4726,['null'],0,0,0,0,0,0,0
44,"['밤', '카카오', '자두']",0,1,0,0,1,0,1
3707,['null'],0,0,0,0,0,0,0
4686,['null'],0,0,0,0,0,0,0
3591,['null'],0,0,0,0,0,0,0
4716,['null'],0,0,0,0,0,0,0
3429,['null'],0,0,0,0,0,0,0
3195,['null'],0,0,0,0,0,0,0
3219,['null'],0,0,0,0,0,0,0
3446,['null'],0,0,0,0,0,0,0
4309,['null'],0,0,0,0,0,0,0
1045,"['감초', '다크 초콜릿', '카카오닙스']",0,0,0,0,0,1,1
1012,"['호두', '몰트', '황설탕', '건포도', '오렌지']",0,1,0,1,1,1,0
4316,['null'],0,0,0,0,0,0,0
4767,['null'],0,0,0,0,0,0,0
3218,['null'],0,0,0,0,0,0,0
3438,['null'],0,0,0,0,0,0,0
4017,['null'],0,0,0,0,0,0,0
1332,"['라임', '블랙티', '건포도', '밀크 초콜릿']",0,1,1,0,0,0,1
189,['초콜릿'],0,0,0,0,0,0,1
1713,['null'],0,0,0,0,0,0,0
4820,['null'],0,0,0,0,0,0,0
4427,"['무화과', '밀크 초콜릿', '황설탕']",0,1,0,1,0,0,1
3401,['null'],0,0,0,0,0,0,0
1086,"['카라멜', '견과류', '오렌지']",0,1,0,1,1,0,0
1210,"['플로럴', '오렌지']",1,1,0,0,0,0,0
140,"['버터스카치', '메이플', '케인슈가']",0,0,0,1,0,0,0
174,"['과일잼', '홍차', '달다']",0,1,1,1,0,0,0
3450,['null'],0,0,0,0,0,0,0
57,"['블랙베리', '열대과일', '파파야', '딸기', '체리']",0,1,0,0,0,0,0
1089,"['구운 아몬드', '밀크 초콜릿']",0,0,0,0,1,0,1
280,"['다크 초콜릿', '구운 견과류', '카카오닙스']",0,0,0,0,1,0,1
3021,['null'],0,0,0,0,0,0,0
4841,['null'],0,0,0,0,0,0,0
1589,"['플로럴', '망고', '오렌지', '케인슈가', '살구']",1,1,0,1,0,0,0
1093,"['오렌지', '밀크 초콜릿', '케인슈가', '블랙티']",0,1,1,1,0,0,1
3075,['null'],0,0,0,0,0,0,0
4694,['null'],0,0,0,0,0,0,0
3516,['null'],0,0,0,0,0,0,0
3161,['null'],0,0,0,0,0,0,0
1504,"['사과', '아몬드', '흑설탕']",0,1,0,1,1,0,0
3244,['null'],0,0,0,0,0,0,0
3893,['null'],0,0,0,0,0,0,0
3198,['null'],0,0,0,0,0,0,0
3921,['null'],0,0,0,0,0,0,0
1292,"['적은 산미', '달다', '카카오', '다크 초콜릿']",0,1,0,1,0,0,1
217,"['견과류', '초콜릿', '황설탕']",0,0,0,1,1,0,1
3,"['다크 초콜릿', '체리', '아몬드']",0,1,0,0,1,0,1
3393,['null'],0,0,0,0,0,0,0
3437,['null'],0,0,0,0,0,0,0
116,['null'],0,0,0,0,0,0,0
4328,['null'],0,0,0,0,0,0,0
3197,['null'],0,0,0,0,0,0,0
3031,['null'],0,0,0,0,0,0,0
3369,['null'],0,0,0,0,0,0,0
4429,"['마카다미아', '포도', '달다']",0,1,0,1,1,0,0
3039,['null'],0,0,0,0,0,0,0
69,"['시트러스', '바닐라', '달다', '복숭아']",0,1,0,1,0,1,0
291,"['오렌지', '카라멜', '초콜릿']",0,1,0,1,0,0,1
3392,['null'],0,0,0,0,0,0,0
4485,['null'],0,0,0,0,0,0,0
70,"['견과류', '옥수수']",0,0,0,0,1,0,0
1207,"['카라멜', '밀크 초콜릿']",0,0,0,1,0,0,1
3984,['null'],0,0,0,0,0,0,0
4775,['null'],0,0,0,0,0,0,0
3963,['null'],0,0,0,0,0,0,0
3552,['null'],0,0,0,0,0,0,0
8,['초콜릿'],0,0,0,0,0,0,1
276,['null'],0,0,0,0,0,0,0
3900,['null'],0,0,0,0,0,0,0
3055,['null'],0,0,0,0,0,0,0
3027,['null'],0,0,0,0,0,0,0
3015,['null'],0,0,0,0,0,0,0
1502,"['흑설탕', '다크 초콜릿', '초콜릿 트러플', '블랙체리']",0,1,0,1,0,1,1
36,"['초콜릿', '과일']",0,1,0,0,0,0,1
54,"['플로럴', '열대과일', '딸기', '포도', '아몬드', '달다']",1,1,0,1,1,0,0
3721,['null'],0,0,0,0,0,0,0
3207,['null'],0,0,0,0,0,0,0
203,"['와인', '다크 초콜릿', '흑설탕', '적은 산미']",0,1,0,1,0,0,1
4876,['null'],0,0,0,0,0,0,0
4696,['null'],0,0,0,0,0,0,0
1737,['null'],0,0,0,0,0,0,0
3590,['null'],0,0,0,0,0,0,0
3025,['null'],0,0,0,0,0,0,0
1107,"['시트러스', '살구', '카라멜', '꿀']",0,1,0,1,0,0,0
4122,['null'],0,0,0,0,0,0,0
3394,['null'],0,0,0,0,0,0,0
3061,['null'],0,0,0,0,0,0,0
3763,['null'],0,0,0,0,0,0,0
3194,['null'],0,0,0,0,0,0,0
3090,['null'],0,0,0,0,0,0,0
4172,['null'],0,0,0,0,0,0,0
3014,['null'],0,0,0,0,0,0,0
1041,"['다크 초콜릿', '카카오닙스', '피칸']",0,0,0,0,1,0,1
10,"['오렌지', '자두', '흑설탕', '다크 초콜릿']",0,1,0,1,0,0,1
1018,['null'],0,0,0,0,0,0,0
4817,['null'],0,0,0,0,0,0,0
1475,"['아몬드', '견과류', '다크 초콜릿']",0,0,0,0,1,0,1
3837,['null'],0,0,0,0,0,0,0
1043,"['카라멜', '흑설탕', '블랙티', '오렌지']",0,1,1,1,0,0,0
1201,"['쌀밥', '땅콩', '설탕', '보리차', '옥수수']",0,0,0,1,1,0,0
3737,['null'],0,0,0,0,0,0,0
1734,['null'],0,0,0,0,0,0,0
4522,['null'],0,0,0,0,0,0,0
1479,"['오렌지', '건포도', '카라멜']",0,1,0,1,0,0,0
3433,['null'],0,0,0,0,0,0,0
4448,['null'],0,0,0,0,0,0,0
136,['초콜릿'],0,0,0,0,0,0,1
2999,['null'],0,0,0,0,0,0,0
141,"['흑설탕', '다크 초콜릿']",0,0,0,1,0,0,1
205,"['블루베리', '라즈베리', '장미', '과일']",1,1,0,0,0,0,0
275,['null'],0,0,0,0,0,0,0
3223,['null'],0,0,0,0,0,0,0
3556,['null'],0,0,0,0,0,0,0
1073,"['아몬드', '호두', '오렌지', '다크 초콜릿']",0,1,0,0,1,0,1
4676,['null'],0,0,0,0,0,0,0
4486,['null'],0,0,0,0,0,0,0
3141,['null'],0,0,0,0,0,0,0
3217,['null'],0,0,0,0,0,0,0
4523,['null'],0,0,0,0,0,0,0
3221,['null'],0,0,0,0,0,0,0
103,"['카카오', '다크 초콜릿', '블랙베리']",0,1,0,0,0,0,1
1714,['null'],0,0,0,0,0,0,0
282,"['브라우니', '다크 초콜릿', '구운 견과류', '크래커']",0,0,0,1,1,0,1
1120,['다크 초콜릿'],0,0,0,0,0,0,1
4730,['null'],0,0,0,0,0,0,0
3357,['null'],0,0,0,0,0,0,0
196,"['초콜릿', '아몬드']",0,0,0,0,1,0,1
274,"['블랙베리', '구운 아몬드', '밀크 초콜릿']",0,1,0,0,1,0,1
120,"['밀크 초콜릿', '땅콩카라멜', '향신료', '엘더베리']",0,1,0,1,1,1,1
42,"['얼그레이', '히비스커스', '베리류']",1,1,1,0,0,0,0
4707,['null'],0,0,0,0,0,0,0
102,"['토스트', '호두', '황설탕']",0,0,0,1,1,0,0
3395,['null'],0,0,0,0,0,0,0
3229,['null'],0,0,0,0,0,0,0
185,['null'],0,0,0,0,0,0,0
4330,['null'],0,0,0,0,0,0,0
4819,['null'],0,0,0,0,0,0,0
3608,['null'],0,0,0,0,0,0,0
3946,['null'],0,0,0,0,0,0,0
1573,"['카카오닙스', '스카치캔디', '블랙티']",0,0,1,1,0,0,1
1085,"['견과류', '꿀', '레몬그라스']",0,0,1,1,1,0,0
3515,['null'],0,0,0,0,0,0,0
1204,"['와인', '견과류', '초콜릿']",0,1,0,0,1,0,1
1200,"['쌀밥', '땅콩', '카카오', '보리차', '옥수수']",0,0,0,0,1,0,1
3508,['null'],0,0,0,0,0,0,0
3606,['null'],0,0,0,0,0,0,0
195,"['다크 초콜릿', '카카오', '아몬드']",0,0,0,0,1,0,1
4305,['null'],0,0,0,0,0,0,0
1110,"['구운 견과류', '다크 초콜릿']",0,0,0,0,1,0,1
227,['초콜릿'],0,0,0,0,0,0,1
1341,"['꽃', '적은 산미']",1,1,0,0,0,0,0
3024,['null'],0,0,0,0,0,0,0
3505,['null'],0,0,0,0,0,0,0
3561,['null'],0,0,0,0,0,0,0
3046,['null'],0,0,0,0,0,0,0
3902,['null'],0,0,0,0,0,0,0
1478,"['군밤', '잣', '밀크 초콜릿']",0,0,0,1,1,0,1
2992,['null'],0,0,0,0,0,0,0
167,"['포도', '견과류']",0,1,0,0,1,0,0
19,"['달콤한 산미', '자두', '복숭아', '황설탕']",0,1,0,1,0,0,0
223,"['적은 산미', '견과류 단맛', '다크 초콜릿']",0,1,0,1,1,0,1
1331,"['다크 초콜릿', '블랙체리', '달다', '카라멜']",0,1,0,1,0,0,1
1025,"['다크 초콜릿', '오크', '감귤류', '카라멜']",0,1,0,1,0,1,1
3514,['null'],0,0,0,0,0,0,0
4786,['null'],0,0,0,0,0,0,0
3017,['null'],0,0,0,0,0,0,0
4428,"['달다', '다크 초콜릿', '시가']",0,0,0,1,0,1,1
3616,['null'],0,0,0,0,0,0,0
52,"['흑설탕', '카카오닙스', '다크 초콜릿', '묵직한 바디와 쌉쌀한 애프터']",0,1,0,1,0,0,1
4612,['null'],0,0,0,0,0,0,0
4153,['null'],0,0,0,0,0,0,0
4682,"['다크 초콜릿', '사과', '카라멜']",0,1,0,1,0,0,1
4570,['null'],0,0,0,0,0,0,0
134,"['쌀밥', '땅콩', '아몬드', '허브', '감귤류']",0,1,1,0,1,0,0
3355,['null'],0,0,0,0,0,0,0
3585,['null'],0,0,0,0,0,0,0
1708,"['달다', '황설탕', '달다', '카카오', '팝콘', '보리']",0,0,0,1,1,0,1
3009,['null'],0,0,0,0,0,0,0
4601,['null'],0,0,0,0,0,0,0
1023,"['호두', '다크 초콜릿', '카카오', '버터']",0,0,0,0,1,1,1
3705,['null'],0,0,0,0,0,0,0
3892,['null'],0,0,0,0,0,0,0
4057,['null'],0,0,0,0,0,0,0
3150,['null'],0,0,0,0,0,0,0
3010,['null'],0,0,0,0,0,0,0
2993,['null'],0,0,0,0,0,0,0
4458,['null'],0,0,0,0,0,0,0
3038,['null'],0,0,0,0,0,0,0
1038,['null'],0,0,0,0,0,0,0
3058,['null'],0,0,0,0,0,0,0
4785,['null'],0,0,0,0,0,0,0
3005,['null'],0,0,0,0,0,0,0
71,"['밀크 초콜릿', '오렌지']",0,1,0,0,0,0,1
4790,['null'],0,0,0,0,0,0,0
4332,['null'],0,0,0,0,0,0,0
3040,['null'],0,0,0,0,0,0,0
3206,['null'],0,0,0,0,0,0,0
3065,['null'],0,0,0,0,0,0,0
4605,['null'],0,0,0,0,0,0,0
1470,"['자몽', '라임', '토마토', '자두', '황설탕']",0,1,0,1,0,0,0
3525,['null'],0,0,0,0,0,0,0
3898,['null'],0,0,0,0,0,0,0
4874,['null'],0,0,0,0,0,0,0
113,"['와인', '오렌지', '라임', '달다']",0,1,0,1,0,0,0
4665,['null'],0,0,0,0,0,0,0
3160,['null'],0,0,0,0,0,0,0
4407,['null'],0,0,0,0,0,0,0
3725,['null'],0,0,0,0,0,0,0
4602,['null'],0,0,0,0,0,0,0
3565,['null'],0,0,0,0,0,0,0
4870,['null'],0,0,0,0,0,0,0
3072,['null'],0,0,0,0,0,0,0
1316,"['다크 초콜릿', '구운 아몬드', '오렌지', '흑설탕']",0,1,0,1,1,0,1
4877,['null'],0,0,0,0,0,0,0
60,"['과일', '쥬시', '카라멜']",0,1,0,1,0,0,0
4331,['null'],0,0,0,0,0,0,0
3205,['null'],0,0,0,0,0,0,0
3406,['null'],0,0,0,0,0,0,0
1706,"['꿀', '살구', '체리', '딸기', '복숭아', '자스민', '감귤류']",1,1,0,1,0,0,0
3899,['null'],0,0,0,0,0,0,0
188,"['꽃', '블루베리', '건자두']",1,1,0,0,0,0,0
4824,['null'],0,0,0,0,0,0,0
3140,['null'],0,0,0,0,0,0,0
1088,"['군고구마', '군밤', '흑설탕', '견과류']",0,0,0,1,1,0,0
3587,['null'],0,0,0,0,0,0,0
3524,['null'],0,0,0,0,0,0,0
3028,['null'],0,0,0,0,0,0,0
3584,['null'],0,0,0,0,0,0,0
4449,['null'],0,0,0,0,0,0,0
3026,['null'],0,0,0,0,0,0,0
5,['null'],0,0,0,0,0,0,0
4447,['null'],0,0,0,0,0,0,0
1094,"['바닐라', '초콜릿', '흑설탕']",0,0,0,1,0,1,1
1712,['null'],0,0,0,0,0,0,0
232,['초콜릿'],0,0,0,0,0,0,1
4611,['null'],0,0,0,0,0,0,0
11,"['견과류', '초콜릿']",0,0,0,0,1,0,1
4706,['null'],0,0,0,0,0,0,0
2995,['null'],0,0,0,0,0,0,0
3891,['null'],0,0,0,0,0,0,0
3841,['null'],0,0,0,0,0,0,0
4693,['null'],0,0,0,0,0,0,0
3214,['null'],0,0,0,0,0,0,0
272,"['사과', '마카다미아', '자두']",0,1,0,0,1,0,0
3555,['null'],0,0,0,0,0,0,0
4455,['null'],0,0,0,0,0,0,0
226,"['견과류', '카라멜', '아몬드', '카카오', '황설탕']",0,0,0,1,1,0,1
4311,['null'],0,0,0,0,0,0,0
2,"['딸기', '와인', '화이트 초콜릿']",0,1,0,0,0,0,1
3897,['null'],0,0,0,0,0,0,0
4004,['null'],0,0,0,0,0,0,0
1474,"['땅콩카라멜', '흑설탕', '마카다미아']",0,0,0,1,1,0,0
1105,"['포도', '메이플', '밀크 초콜릿', '홍차']",0,1,1,1,0,0,1
1104,"['다크 초콜릿', '카카오', '마카다미아', '건포도']",0,1,0,0,1,0,1
3145,['null'],0,0,0,0,0,0,0
3928,['null'],0,0,0,0,0,0,0
3609,['null'],0,0,0,0,0,0,0
191,"['구운 견과류', '아몬드 초콜릿', '몰트']",0,0,0,0,1,1,1
110,"['바닐라', '오렌지', '꿀']",0,1,0,1,0,1,0
3022,['null'],0,0,0,0,0,0,0
3935,['null'],0,0,0,0,0,0,0
1736,['null'],0,0,0,0,0,0,0
4643,['null'],0,0,0,0,0,0,0
3486,['null'],0,0,0,0,0,0,0
4321,['null'],0,0,0,0,0,0,0
1731,['null'],0,0,0,0,0,0,0
4188,['null'],0,0,0,0,0,0,0
1205,"['과일', '홍차']",0,1,1,0,0,0,0
3231,['null'],0,0,0,0,0,0,0
3526,['null'],0,0,0,0,0,0,0
3199,['null'],0,0,0,0,0,0,0
4839,['null'],0,0,0,0,0,0,0
2998,['null'],0,0,0,0,0,0,0
