,coffee_name,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
3355,그레이무드 블랜드,블렌드,미디엄다크,,-,4,1,5,1
1023,블랙 앤 모어,블렌드,다크,,"호두, 다크초콜릿, 카카오, 버터",5,1,4,2
3583,스프링 블렌드,블렌드,미디엄,,-,3,4,3,2
3447,하이로 디카프리오,디카페인,미디엄,직접무역,-,3,4,4,2
4760,휘둥그레블렌드,블렌드,미디엄다크,공정무역,-,4,1,4,3
193,마리모,블렌드,다크,,"다크 초콜릿, 블랙 슈가",4,1,4,3
3908,얼반아이트 블렌드,블렌드,다크,,-,5,1,5,3
3232,과테말라 파노라마,싱글오리진,미디엄다크,,-,3,1,4,2
4153,화사한 빈도,블렌드,라이트미디엄,,-,3,3,4,3
4841,온두라스 COE#10 아구아 둘세 게이샤 워시드,싱글오리진,라이트미디엄,,-,3,4,4,2
3585,윈터 블렌드,블렌드,미디엄다크,,-,4,1,3,4
4692,M블랙,블렌드,다크,,-,5,1,4,3
4599,디카페인 콜롬비아,디카페인,미디엄다크,공정무역,-,3,2,3,2
3027,퍼플렄 블렌드,블렌드,라이트미디엄,,-,3,3,4,1
4321,써니비치,블렌드,라이트미디엄,,-,2,4,4,1
3590,에티오피아 예가체프 아리차 G1 워시드,싱글오리진,라이트,,-,3,4,4,1
3395,커먼센스 블렌드,블렌드,미디엄다크,,-,4,1,3,2
3199,바이올렛 블렌딩 커피,블렌드,미디엄다크,,-,2,2,3,1
1476,다크 아이보리 블렌드,블렌드,다크,,"캐슈넛, 구운아몬드, 밀크초콜렛",5,1,4,2
3012,우리집블렌드,블렌드,미디엄다크,공정무역,-,3,2,4,1
8,파나마 코토와 돈케이,싱글오리진,라이트미디엄,직접무역,초콜릿,4,4,5,2
124,콜롬비아 디카페인,디카페인,다크,,"초콜릿, 건자두, 흙설탕",3,1,4,3
1209,BRICK 블랜드,블렌드,미디엄다크,,"다크초콜릿, 사탕수수",4,1,4,1
174,ESPRESSO 3s,블렌드,다크,직접무역,"과일잼, 홍차, 좋은 단맛",3,3,4,2
232,나이트아울 블렌드,블렌드,미디엄,공정무역,초콜릿,4,2,5,3
3909,타이거릴리,디카페인,라이트미디엄,직접무역,-,3,3,4,2
2993,블렌드 너티 퍼플,블렌드,미디엄다크,,-,4,1,4,3
3429,데일리 스윗 플러스,블렌드,미디엄,,-,3,4,4,3
191,리들리,블렌드,미디엄다크,,"볶은 견과류, 아몬드 초콜릿, 몰트",4,2,4,3
4455,BURUNDI ROYAL BEATS(부룬디 로얄 비츠),싱글오리진,미디엄,직접무역,-,4,3,3,2
4014,과테말라 와이칸 워시드,싱글오리진,라이트미디엄,,-,3,3,4,2
4696,노블레스 블렌딩,블렌드,미디엄다크,,-,3,4,4,1
3038,피렌체,블렌드,미디엄다크,,-,5,1,3,4
3198,다크그린 블렌딩 커피,블렌드,미디엄다크,,-,3,2,3,2
3393,리허설,블렌드,미디엄다크,,-,3,2,3,2
1478,율 디캐프 다크,디카페인,다크,,"구운 밤, 잣, 밀크 초콜렛",3,1,4,2
1120,다크초코 블렌딩,블렌드,미디엄다크,,다크 초콜릿,4,3,4,2
1573,멕시코 디카페인,디카페인,라이트미디엄,,"카카오닙스, 스카치캔디, 블랙티",3,3,4,3
3084,송버드(Song Bird),블렌드,미디엄,,-,2,4,4,1
3030,네이비렄 블렌드,블렌드,미디엄다크,,-,3,2,4,2
1311,Zero WAVE : Ordinary,블렌드,다크,,"다크초콜릿, 토피넛, 카카오",4,1,4,4
4686,디카페인 블렌딩,디카페인,다크,공정무역,-,4,1,4,4
3042,블루문,디카페인,미디엄다크,,-,4,1,4,2
3513,Nube Gris 누베그리스,블렌드,미디엄다크,공정무역,-,4,2,4,3
3356,초코블라썸 블랜드,블렌드,라이트미디엄,,-,3,4,4,1
4800,크로마 블렌드,블렌드,미디엄,공정무역,-,4,3,4,3
1332,몽상스,싱글오리진,미디엄,직접무역,"라임, 블랙티, 건포도, 밀크초코, 편안한 케냐",5,4,5,3
3391,커튼콜,블렌드,미디엄,,-,3,4,4,2
4801,아헨 Aachen,블렌드,미디엄다크,,-,4,2,4,1
3737,콜롬비아 비야라조 민트,싱글오리진,라이트미디엄,,-,3,3,3,2
140,클래식 블렌드,블렌드,미디엄,,"버터스카치, 메이플, 슈가케인",3,3,4,2
1342,F 블렌드,블렌드,미디엄다크,,"견과류, 밀크 초콜릿",4,2,4,4
4689,킵고잉 블렌드,블렌드,미디엄다크,,-,4,1,3,4
3219,Parachute (패러슈트),블렌드,미디엄,,-,3,2,5,2
1479,바이올렛 블렌드,블렌드,라이트미디엄,,"오렌지, 건포도, 카라멜",3,4,4,1
1016,리밀 블렌드,블렌드,미디엄다크,,"견과류, 카카오, 다크초콜릿, 브라운슈가, 오렌지",4,2,4,4
3555,트로피칼 플라워 게이샤 무산소,싱글오리진,라이트,,-,3,4,4,1
3070,람블라 블렌딩,블렌드,미디엄다크,,-,3,2,4,2
23,2nd WAVE : Customizing,블렌드,미디엄다크,공정무역,"밀크 초콜릿, 오렌지, 베리류",4,3,4,2
3740,파나마 페리엔 게이샤 워시드,싱글오리진,라이트미디엄,,-,3,3,4,1
4333,불켜진공장 블렌드,블렌드,미디엄다크,,-,4,2,4,2
4820,시즈널 블렌드 '가을',블렌드,미디엄,공정무역,-,4,2,4,2
3763,시다모 파피초 내추럴,싱글오리진,라이트,,-,3,4,4,1
4614,콜롬비아 디카페인,디카페인,미디엄다크,,-,3,3,4,3
3161,라까프 에스프레소 블렌드,블렌드,미디엄다크,공정무역,-,4,3,4,3
1046,인디언 헤드,블렌드,다크,,"다크 초콜릿, 월넛, 브라운 슈거, 스윗니스",4,1,4,3
4840,과테말라 산로렌조 엘쿠로 블랙허니,싱글오리진,라이트미디엄,,-,3,3,3,3
70,진양조,블렌드,미디엄다크,,"견과류, 옥수수, 긴 여운",3,1,3,3
4486,시그니처 화이트,블렌드,미디엄,직접무역,-,2,3,4,2
1103,헥사 블렌드,블렌드,미디엄다크,,"말린 자두, 다크초콜릿, 아몬드, 홍차",4,3,3,2
4309,스테이블 블렌드,블렌드,미디엄,,-,3,2,4,1
3444,블렌드 C,블렌드,미디엄다크,,-,3,3,4,2
3206,디카페인 콜롬비아,디카페인,다크,공정무역,-,4,1,4,4
53,센스 앤 센서빌리티,블렌드,미디엄,,"꽃향, 오렌지, 자두, 카라멜, 산미와 단맛의 조화로움",3,4,4,2
219,66도 블렌드,블렌드,미디엄,,"밀크 초콜릿, 감귤, 군고구마",3,1,3,2
3176,콜롬비아 아마티보 로꼬시리즈 카리베,싱글오리진,미디엄,,-,2,3,5,2
3586,디카페인 스프링 블렌드,디카페인,미디엄,,-,3,4,3,2
4695,에티오피아 블렌드,블렌드,미디엄,,-,3,3,4,1
1477,율 디캐프,디카페인,라이트,,"녹차, 홍차, 블랙슈가",2,2,3,1
3801,모리 케피어 로부스타 TR4,싱글오리진,미디엄,직접무역,-,4,1,4,2
1109,돌담in애월,블렌드,미디엄다크,,"다크초콜렛, 흑설탕, 롱 애프터",5,2,5,3
1013,룰라바이,디카페인,미디엄,,"귤, 시나몬, 꿀",2,3,5,1
11,엘 카미노,블렌드,미디엄다크,,"견과류, 초콜릿",3,1,4,3
3516,Decaf 디카페인,디카페인,미디엄,공정무역,-,4,4,4,2
4802,바흐 Bach,블렌드,미디엄,,-,3,3,3,1
1201,간편한즉석밥 블렌딩,블렌드,미디엄다크,,"쌀밥, 땅콩, 설탕, 보리차, 옥수수",3,1,3,4
3900,로엄버 블렌딩,블렌드,미디엄,,-,3,2,3,3
2995,과테말라 SHB 스위스워터 디카페인,디카페인,미디엄다크,,-,4,2,4,3
56,마이 로맨스,블렌드,미디엄,직접무역,"딸기, 마시멜로, 오렌지향, 리치",3,4,4,2
1002,호이스트,블렌드,미디엄,,"감귤, 사과쥬스, 시럽같은 촉감, 카카오, 다채로운",3,3,4,1
3006,커피가이 블렌드,블렌드,미디엄,,-,4,3,5,2
4778,케냐 뚱구리 피베리,싱글오리진,라이트,,-,4,5,5,1
3929,하이홉스 시즈널블랜드,블렌드,미디엄,,-,3,3,5,2
1340,카라멜 슬럽 블렌드,블렌드,미디엄,,"카라멜, 말린과일, 아몬드",3,2,4,2
37,디 카페인 블렌드,디카페인,미디엄다크,,-,4,1,4,3
3721,일상 블렌드 A (아메리카노),블렌드,미디엄,,-,4,3,5,3
3465,메리 옐로우,블렌드,라이트미디엄,,-,1,4,4,1
3562,밸런스,블렌드,미디엄다크,,-,3,3,3,3
3020,에티오피아 예가체프 아리차 에이미 G1 내츄럴,싱글오리진,라이트미디엄,,-,3,4,4,1
3017,소소하게 블렌드,블렌드,미디엄,,-,4,1,4,3
276,디어 베이커,블렌드,미디엄,유기농,-,4,3,4,1
4487,콜롬비아 디카페인,디카페인,미디엄다크,직접무역,-,3,3,3,2
3029,블랙렄 블렌드,블렌드,다크,,-,4,1,4,2
1066,나폴리,블렌드,미디엄,,"아몬드, 카라멜, 애플, 자스민",4,4,5,2
206,날아올라,싱글오리진,라이트,직접무역,"자스민, 복합적, 엘더베리, 달다",4,4,4,2
282,잘자요 디카페인,디카페인,다크,,"브라우니, 다크 초콜릿, 구운 견과류, 크래커",4,1,3,4
3022,스윗가이 블랜드,블렌드,미디엄,,-,3,4,4,3
3359,7:01AM 블렌드,블렌드,다크,,-,4,1,4,3
3194,레드 블렌딩 커피,블렌드,미디엄,,-,2,4,3,1
3914,조바티 디카페인 블렌드,디카페인,미디엄다크,직접무역,-,3,3,3,2
3841,과테말라 엘 소코로 산 로렌조 스페셜티,싱글오리진,미디엄다크,,-,4,1,4,2
3557,타이거 스모크 블랜드,블렌드,다크,,-,5,1,5,2
3514,Caramelo 카라멜로,블렌드,미디엄,공정무역,-,3,4,4,1
4488,에티오피아 게이샤 피치 G1,싱글오리진,라이트,공정무역,-,3,4,3,1
1021,글램 앤 모어,블렌드,라이트미디엄,,"체리, 포도, 토마토, 사과",3,4,3,1
19,필베러,블렌드,미디엄,,"달콤한 산미, 자두, 복숭아, 갈색설탕, 좋은 밸런스",3,3,4,1
4604,인도네시아 만델링 G1,싱글오리진,다크,공정무역,-,4,3,3,4
3180,디카프 슬럽,디카페인,미디엄,,-,3,3,4,1
3153,밀밭,블렌드,라이트미디엄,공정무역,-,4,4,4,3
4600,디카페인 엘살바도르,디카페인,미디엄다크,공정무역,-,3,2,3,2
1083,콜롬비아 수프리모 SW 디카프,디카페인,미디엄,,"비스킷, 너트, 오렌지",2,2,3,2
223,웨이브온 블렌드,블렌드,미디엄다크,직접무역,"은은한 산미, 견과류 단맛, 다크초콜릿 후미",3,2,3,3
3738,콜롬비아 라 레오나 만다린,싱글오리진,라이트미디엄,,-,3,4,4,1
3014,맛좋은커피블렌드,블렌드,다크,공정무역,-,4,1,5,2
5,매뉴얼,블렌드,미디엄다크,,-,4,2,4,3
4328,밤의 유영,디카페인,미디엄다크,,-,3,2,3,3
3450,에티오피아 예가체프 할로베리티 G1 워시드,싱글오리진,라이트미디엄,,-,2,4,4,2
4697,보니타 블렌딩,블렌드,미디엄다크,,-,3,1,3,1
3021,스타가이 블랜드,블렌드,미디엄,,-,3,4,5,3
54,어느푸른저녁,블렌드,미디엄,,"플로럴, 열대과일, 딸기, 청포도, 아몬드, 시러피, 밸런스",3,3,4,1
4484,데일리 블루,블렌드,미디엄다크,직접무역,-,4,2,3,4
1495,디카프 브라질 NY2/3 mountain water,디카페인,미디엄다크,,"마카다미아, 땅콩, 누룽지",4,1,4,2
4691,브라질 세하도 NY2,싱글오리진,미디엄다크,,-,3,1,3,3
44,콜롬비아 디카페인,디카페인,미디엄다크,,"밤, 카카오, 자두",4,2,4,3
4819,부릉부릉,블렌드,라이트미디엄,,-,3,4,4,1
1474,다크초콜릿 블렌드,블렌드,다크,,"피넛캔디, 흑설탕, 마카다미아",5,1,4,2
4313,세븐레이크,블렌드,미디엄,,-,3,3,4,3
3067,브레가 블렌딩,블렌드,미디엄다크,,-,4,2,4,2
1505,콜롬비아 엘 카르멘 디카프,디카페인,미디엄다크,공정무역,"꿀, 배, 자두",4,1,5,2
1024,브라이트,블렌드,라이트미디엄,,"오렌지, 복숭아, 월넛, 밀키한 텍스쳐",2,4,3,1
4759,카페5060,블렌드,미디엄다크,공정무역,-,3,1,3,3
3459,에티오피아 예가체프 코체레 G2 워시드,싱글오리진,라이트미디엄,유기농,-,2,4,4,1
3707,Avo 블랜드,블렌드,라이트미디엄,,-,2,4,3,2
1086,DCW 블렌드,디카페인,미디엄,,"카라멜, 너트, 오렌지",2,2,3,2
3457,Winter 블렌딩,블렌드,미디엄다크,유기농,-,5,1,4,3
3015,하우스블렌드,블렌드,미디엄다크,공정무역,-,3,3,4,1
1736,브라질 I.P 아카이아 내추럴,싱글오리진,미디엄,,-,2,2,4,1
3390,더블 캐스트,블렌드,라이트미디엄,,-,2,4,3,1
3043,레드베릴 블렌드,블렌드,미디엄,,-,2,4,4,2
4443,콜롬비아 수프리모 후일라 산 비센테 라 플라타,싱글오리진,미디엄,,-,3,4,3,2
1104,썸즈업 블렌드,블렌드,미디엄다크,,"다크 초콜릿, 카카오, 마카다미아, 건포도",4,1,3,2
3603,과테말라 산타펠리사 블루제이드,싱글오리진,미디엄,,-,3,2,4,3
4643,과테말라 SHB 마운틴워터 디카페인,디카페인,미디엄다크,,-,3,3,4,3
3725,디카페인 원두 (브라질),디카페인,미디엄다크,,-,4,1,4,4
4448,CALLA LILY(칼라 릴리),싱글오리진,미디엄,직접무역,-,3,3,3,2
4785,페루 엘 세드로 마르셀 워시드,싱글오리진,라이트,,-,3,4,4,1
4316,랑케블랙,블렌드,다크,,-,5,1,4,4
74,BACS 다크 블렌드,블렌드,다크,,초콜릿,4,2,3,1
3437,2시 15분,블렌드,미디엄,공정무역,-,3,4,5,1
4706,에티오피아 시다모 워시드 G2,싱글오리진,미디엄다크,,-,3,3,3,1
1089,마르께,블렌드,다크,,"구운 아몬드, 밀크 초콜릿, 좋은 바디",4,2,4,3
197,Seasonal Blend,블렌드,라이트미디엄,직접무역,"과일, 카라멜, 핵과류, 실키",3,4,4,1
1731,다크블루,블렌드,미디엄다크,,-,4,1,5,2
3840,케냐 뚱구리 AA 워시드,싱글오리진,미디엄,,-,3,4,3,1
2992,블렌드 캔디 그린,블렌드,라이트미디엄,,-,2,4,3,2
3601,콜롬비아 핀카 라 에스메랄다 아나에어로빅 허니,싱글오리진,미디엄,,-,3,4,4,2
3565,아로마,블렌드,라이트미디엄,,-,2,4,2,1
1331,와이칸 다크,싱글오리진,다크,직접무역,"다크초콜릿, 블랙체리, 잼, 솔티드카라멜",4,4,5,4
4701,디카페인,디카페인,미디엄,,-,3,2,4,1
3892,케냐 AA TOP 오타야 칭가 퀸,싱글오리진,미디엄다크,,-,5,3,5,3
3911,조바티 브라운 블렌드,블렌드,미디엄다크,직접무역,-,3,3,3,2
69,Blend N.1,블렌드,라이트,,"시트러스, 바닐라, 크리미 바디, 시러피, 복숭아",3,3,5,1
3394,과테말라 디카페인,디카페인,미디엄다크,,-,4,1,3,2
2998,삼척블렌드,블렌드,미디엄다크,,-,5,2,4,3
3462,Harum 블렌딩,블렌드,미디엄,유기농,-,3,4,4,2
134,상큼한초밥 블렌딩,블렌드,미디엄다크,,"쌀밥, 땅콩, 아몬드, 허브, 감귤",3,3,3,2
1298,그린 블렌딩 커피,블렌드,미디엄다크,,"바닐라, 월넛, 브라운 슈가, 건포도",4,3,4,2
4305,클래식 블렌드 1996,블렌드,라이트미디엄,,-,2,4,3,1
1336,프렌치,블렌드,다크,직접무역,"카카오닙스, 토피, 카라멜",5,1,4,4
3507,L1,블렌드,라이트미디엄,,-,2,4,3,2
1734,멜로브라운,블렌드,미디엄,,-,2,2,4,1
1118,안신단고 블렌딩,블렌드,미디엄다크,,견과류,4,3,4,2
4483,디카페인,디카페인,다크,,-,3,2,4,3
4015,케냐 바링고 워시드 AB,싱글오리진,미디엄,,-,3,3,4,3
3587,디카페인 어텀 블렌드,디카페인,미디엄,,-,3,2,4,3
145,문래 블렌드,블렌드,미디엄다크,,"아몬드, 라즈베리, 브라운슈가, 초콜릿",5,1,5,4
4826,케냐 띠리쿠 AA 워시드,싱글오리진,미디엄,,-,4,4,5,1
3241,클래식 골드 블렌드,블렌드,다크,직접무역,-,4,1,4,3
3838,시그니처블렌드 A,블렌드,미디엄다크,,-,5,1,5,1
52,비터스윗 라이프 에디션2,블렌드,다크,,"흑설탕, 카카오닙스, 다크초콜릿, 묵직한 바디와 쌉쌀한 애프터",5,1,4,4
280,극야 블렌드,블렌드,다크,,"다크초콜릿, 구운 견과류, 카카오닙스, 묵직한 바디감",5,1,4,4
3736,콜롬비아 비야라조 시나몬,싱글오리진,라이트미디엄,,-,3,3,4,3
3369,그레이 포레스트,블렌드,미디엄다크,유기농,-,4,2,4,2
4817,과테말라 아구아 티비아 게이샤 워시드,싱글오리진,라이트,,-,3,3,5,1
10,카펜터,블렌드,미디엄다크,,"오렌지, 자두, 블랙슈가, 다크초콜릿, 좋은 밸런스",3,3,4,3
4459,COLOMBIA TAMARA(콜롬비아 타마라),싱글오리진,미디엄,직접무역,-,4,3,3,3
4220,캄블렌드,블렌드,미디엄다크,,-,4,1,4,3
1725,블렌드 루트 블랙,블렌드,미디엄다크,,-,5,1,4,3
3552,케냐 가차타 AA,싱글오리진,라이트미디엄,,-,3,4,4,1
118,숲,블렌드,미디엄,직접무역,"볶은 땅콩, 향신료, 코코아, 레몬",4,4,5,1
3741,콜롬비아 살피콘 게이샤 CM내추럴,싱글오리진,라이트미디엄,,-,3,4,4,2
1018,헬로 다크니스,블렌드,다크,,-,5,1,4,4
3404,릴렉스 블렌드,블렌드,미디엄,,-,4,1,5,2
3401,라 콜리나,블렌드,미디엄,,-,2,3,3,2
4332,호수 블렌드,블렌드,다크,,-,5,1,5,2
1119,아몬드 블렌딩,블렌드,미디엄다크,,"구운 땅콩, 아몬드, 견과류",4,3,4,2
3614,미드나잇 블루 (디카페인 원두),디카페인,다크,,-,4,1,4,3
3525,핸디엄 밸런스 원두 스윗 5kg,블렌드,미디엄다크,,-,4,2,4,3
3935,모리 로부스타 쎄 허니,싱글오리진,라이트미디엄,직접무역,-,4,1,4,2
1063,하드워커,블렌드,미디엄다크,,"다크초콜릿, 카카오, 비터스윗",3,2,4,2
1706,에티오피아 모모라 내추럴 구지 G1,싱글오리진,라이트미디엄,,"꿀, 살구, 체리, 딸기, 복숭아, 재스민, 감귤",3,4,4,1
146,안목블렌드,블렌드,미디엄다크,,"감귤류, 살구, 피칸, 마카다미아, 아몬드",4,4,5,3
3705,G'day Blend (좋은 하루의 시작),블렌드,미디엄다크,,-,4,1,4,4
57,에티오피아 아리차 스페셜 G1 내추럴,싱글오리진,라이트,직접무역,"블랙베리 쥬스, 트로피칼 쥬스, 파파야, 딸기의 단맛, 체리의 상큼함",3,4,4,1
3505,D3,블렌드,다크,,-,4,1,3,4
4776,브라질 리마오호사,싱글오리진,라이트,,-,3,2,3,1
3031,네이비렄다크 블렌드,블렌드,다크,,-,4,1,4,2
3055,애비뉴 블렌딩,블렌드,미디엄다크,,-,4,2,4,3
4056,휴식 블랜드,블렌드,미디엄다크,,-,4,2,4,3
3461,BAGUS 블렌딩,블렌드,미디엄다크,유기농,-,5,2,3,4
55,젠틀레인,블렌드,미디엄다크,직접무역,"헤이즐넛, 누텔라",4,2,5,3
167,블렌드 B,블렌드,라이트미디엄,,"포도, 견과류",3,4,3,2
3013,일랑일랑 블렌드,블렌드,라이트미디엄,,-,3,4,4,1
36,도화 블렌드,블렌드,미디엄,,"초콜릿, 과일",4,3,4,3
117,위WE,블렌드,미디엄,직접무역,"천도복숭아, 바닐라, 마카다미아",3,4,5,2
1341,R 블렌드,블렌드,미디엄,,"꽃향, 은은한 산미, 좋은 바디",3,3,3,2
3065,오차드 블렌딩,블렌드,미디엄다크,,-,3,2,4,2
4877,구스토 블렌드,블렌드,라이트미디엄,,-,2,4,5,1
4750,뉴월드 블렌드,블렌드,미디엄다크,직접무역,-,3,2,3,3
133,고소한쌀밥 블렌딩,블렌드,미디엄다크,,"쌀밥, 땅콩, 아몬드, 설탕, 초콜렛",3,1,4,2
4172,디카페인 고소한 빈도,디카페인,미디엄,,-,3,2,4,3
1017,과테말라 디카페인 마운틴워터 프로세스,디카페인,미디엄다크,,"헤이즐넛, 초콜릿, 토마토, 굿 바디",4,3,4,2
1300,브라운 블렌딩 커피,블렌드,미디엄다크,,"다크 초콜릿, 볶은 견과류, 카카오닙스, 버번위스키",5,1,5,3
3039,다크 브라운,블렌드,다크,,-,5,1,5,4
4726,다크로스팅 에티오피아 웨스트 아라시 넨세보 만도예 워시드,싱글오리진,미디엄다크,,-,3,3,4,2
3588,다크브릭스 블렌드,블렌드,미디엄다크,,-,5,1,3,4
3354,블랙수트 블랜드,블렌드,미디엄,,-,3,2,3,1
4447,SANTA ISABEL(산타 이사벨),블렌드,미디엄다크,직접무역,-,3,2,2,3
4330,오아시스 블렌드,블렌드,미디엄,,-,3,3,5,1
4408,디카페인 시그니처 다크 블렌드,디카페인,다크,,-,4,3,4,4
1502,보난자 블렌드,블렌드,미디엄,공정무역,"흑설탕, 다트 초콜릿, 초콜릿 트러플, 블랙 체리",2,3,4,2
3606,테디베어 블랜드,블렌드,미디엄,,-,4,2,5,2
4546,콜롬비아 디에고 베르가라 자바 이스트 무산소발효 워시드,싱글오리진,라이트미디엄,직접무역,-,3,4,4,2
82,과테말라 웨웨테낭고 SHB 디카페인,디카페인,미디엄다크,,"아몬드, 밀크초콜릿, 군밤",3,2,4,1
3839,시그니처블렌드 S,블렌드,미디엄다크,,-,4,2,5,1
1049,콜롬비아 싱글오리진 디카페인,디카페인,미디엄다크,,"사과, 텐저린, 캐러멜, 단호박, 다크초콜릿, 밸런스가 좋은",3,3,4,3
3506,M1,블렌드,미디엄,,-,3,3,4,3
3616,스페셜티 블렌드,블렌드,미디엄,,-,2,4,4,1
4004,콜롬비아 디카페인 커피 원두 새벽,디카페인,미디엄다크,공정무역,-,4,2,4,2
1589,에티오피아 구지 라요 타라가 워시드,싱글오리진,라이트미디엄,,"플로럴, 망고, 오렌지, 사탕수수, 살구",3,4,3,1
1121,자몽 블렌딩,블렌드,미디엄다크,,"자몽, 과일",4,3,4,2
3011,허니서클 블렌드,블렌드,미디엄,,-,3,2,4,2
1038,콜롬비아 디카페인 한국커피 셀렉션,디카페인,미디엄다크,직접무역,-,3,2,4,2
3016,짙은 블렌드,블렌드,미디엄다크,,-,4,2,4,3
3207,리치 라운드,블렌드,미디엄다크,,-,2,2,4,3
1043,브릭 에스프레소,블렌드,미디엄다크,,"카라멜, 흑설탕, 블랙티, 오렌지, 라운드한 촉감",3,2,4,2
4458,케냐 뚱구리 AA,싱글오리진,라이트,,-,3,4,4,1
1094,콜롬비아 디카페인,디카페인,미디엄다크,,"바닐라, 초콜릿, 흑설탕",2,3,4,2
127,우일라 디카페인,디카페인,미디엄다크,,초콜릿,3,3,4,2
4052,프렌들리 블렌드,블렌드,미디엄다크,,-,4,2,5,2
3460,디카페인 에티오피아 예가체프 콩가 내추럴,디카페인,미디엄,유기농,-,3,4,5,3
4485,더 블랙,블렌드,다크,직접무역,-,5,1,3,4
119,다크우드,블렌드,다크,직접무역,"베리, 초콜릿",4,3,5,3
4446,MAUNA LOA(마우나 로아),블렌드,미디엄다크,직접무역,-,4,2,4,3
3392,아이에스오 백,블렌드,다크,,-,4,1,3,3
3921,아몰렌떼 디카페인 원두 커피,디카페인,미디엄다크,,-,4,2,4,2
4775,과테말라 엘 소코로 버본,싱글오리진,라이트,,-,3,4,4,1
3071,시그니처 블랜드 언타이틀드,블렌드,미디엄,,-,3,3,5,2
3058,디카페인 과테말라 SHB 싱글오리진,디카페인,미디엄다크,,-,3,3,3,3
1708,브라우니 블렌드,블렌드,미디엄다크,,"비터스윗, 브라운 슈가, 엿기름, 카카오, 팝콘, 보리, 긴여운",4,1,4,2
4017,디카페인 블렌드 위켄드,디카페인,미디엄다크,,-,4,1,4,3
3005,꼬수운돌솥밥 블렌딩,블렌드,미디엄다크,,-,4,1,5,5
225,브라질 캄포 알레그레,싱글오리진,미디엄,직접무역,"사과, 말린 자두의 향, 대추, 다크 초콜릿",4,3,4,1
3643,에티오피아 시다모 문타샤,싱글오리진,라이트미디엄,,-,3,3,5,1
83,싸우스폴 블렌드,블렌드,미디엄다크,,"다크 초콜릿, 카라멜, 은은하며 달다, 클린",4,1,4,1
4665,댐 굳 블렌드,블렌드,다크,,-,5,1,4,4
196,Classic Blend,블렌드,미디엄다크,직접무역,"초콜릿, 아몬드",4,2,5,3
1316,블렌드 슈퍼 노멀,블렌드,미디엄다크,,"다크 초콜릿, 구운 아몬드, 오렌지, 흑설탕, 묵직함",4,2,5,3
136,디카페인 과테말라 블렌드,디카페인,미디엄다크,,초콜릿,4,3,2,4
